0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
77.6,77.38,78.59,81.68,84.55,88.43,90.62,92.75,94.44,96.52,97.55,97.86,98.21,96.84,94.34,91.17,88.8,85.79,84.01,81.61,79.8,78.63,77.31,75.16
74.54,75.89,79.52,83.59,88.12,90.48,93.72,96.44,98.22,99.83,100.04,99.62,98.5,98.27,95.02,90.55,89.28,86.8,84.46,82.67,80.51,79.14,78.27,77.33
76.51,76.1,77.06,80.22,84.99,88.66,92.37,95.09,97.41,98.93,99.86,100.22,99.46,98.04,94.57,90.69,89.47,86.84,84.92,82.53,80.53,79.1,78.29,77.75
76.96,76.39,77.28,79.74,83.08,86.53,89.5,92.47,95.04,96.84,97.87,98.73,98.75,97.65,93.71,90.88,89.05,85.93,84.13,82.61,81.74,80.35,79.17,78.58
78.2,77.83,78.69,81.78,84.69,87.91,91.11,93.54,95.86,97.71,98.43,99.35,99.65,98.27,94.28,90.71,88.4,86.34,84.74,83.33,82.39,81.62,80.89,80.01
79.08,78.68,78.62,81.64,85.46,88.67,91.81,94,95.74,96.83,97.21,97.01,96.58,95.08,92.69,89.72,87.3,85.36,83.95,82.88,82.03,81.06,80.13,78.7
77.43,76.96,78.77,82.49,86.46,89.67,92.92,95.19,96.75,97.75,98.32,98.51,98.6,97.44,95.09,92.22,89.89,88.03,86.27,84.5,82.68,80.9,79.5,77.89
76.38,75.84,77.91,82.47,86.34,89.35,92.06,94.01,95.33,96.11,96.58,96.85,97.1,96.33,94.45,91.91,89.6,87.43,85.2,83.56,81.66,80.34,79.22,77.57
75.94,75.18,76.81,79.96,83.33,85.98,88.47,90.62,92.45,93.74,94.59,95.02,95.26,94.3,92.28,89.49,86.98,84.91,83.13,81.59,80.11,78.72,77.54,75.92
74.21,73.64,74.77,77.87,81.47,84.53,87.12,89.45,91.56,93.14,94.05,94.38,94.56,93.65,91.99,89.66,87.45,85.43,83.42,81.77,80.3,78.95,77.6,75.63
74.28,73.95,75.43,78.78,82.21,84.63,87.06,89.27,91,92.11,92.6,92.51,92.45,91.31,89.98,88.26,86.71,85.22,83.8,82.44,81.08,79.63,78.12,76.15
74.62,74.17,75.64,78.76,82.06,84.54,87.16,89.55,91.44,92.89,93.48,92.96,92.25,90.56,89,87.22,85.55,83.94,82.31,80.95,79.55,78.4,76.96,75.64
74.43,74.65,76.23,79.25,81.55,83.45,85.32,87.08,88.13,88.78,89.37,90.03,91.03,90.59,89.12,87.09,85.18,83.4,81.64,80.22,78.95,77.99,76.65,75.2
