0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,
1.575933333,1.147,1.188716667,1.250483333,1.1568,1.073433333,1.028933333,1.56995,2.731966667,3.040283333,3.027866667,3.490303571,6.437605263,3.770483333,3.772733333,3.8961,3.429233333,2.388316667,2.928133333,2.440533333,2.338433333,2.599133333,3.213016667,2.168033333,
1.689083333,1.286533333,1.124566667,1.0996,1.1491,1.085066667,1.02335,1.032833333,1.295233333,1.500233333,3.854901961,3.5887,6.137192308,3.6188,5.526242424,4.499525424,4.202516667,4.268533333,4.392033333,3.69815,3.502133333,3.255533333,3.098383333,2.149,
1.563933333,1.286516667,1.344183333,1.066583333,1.338733333,1.134883333,1.017116667,1.138766667,2.313133333,2.8625,2.017483333,1.720083333,2.014066667,2.30695,2.18785,2.803433333,2.416683333,3.299766667,3.918166667,4.229016667,3.7981,3.61185,3.157283333,4.205933333,
2.83185,1.368816667,1.585533333,1.203266667,1.0996,1.150983333,1.789266667,2.817133333,3.199033333,3.28985,2.874683333,1.581016667,2.28935,1.9637,2.662583333,2.548333333,2.9084,4.506266667,4.0796,3.194816667,3.794933333,3.566416667,3.33615,3.1023,
1.901083333,1.453766667,1.510916667,1.273516667,1.383066667,1.11,1.10155,3.313766667,4.220133333,3.2461,2.786066667,3.377566667,3.532983333,3.58625,2.0744,1.659433333,1.52275,1.154666667,1.28065,1.261233333,1.19335,1.22905,1.0983,1.14295,
0.694566667,0.888183333,0.7933,0.673316667,0.53495,0.668983333,0.6869,2.44125,2.36665,3.945766667,4.422466667,3.411416667,3.49615,3.56405,2.868016667,2.429833333,2.637516667,3.799216667,3.779183333,3.795116667,3.6365,3.02875,2.9639,2.842083333,
2.369816667,1.625816667,1.614316667,1.1713,1.16235,0.826933333,1.067283333,2.1057,2.8763,4.0785,4.17425,4.5453,4.121833333,4.28655,3.195583333,2.937033333,2.912616667,1.727166667,1.979383333,2.25325,2.216816667,2.214933333,1.988616667,1.402466667,
1.51855,1.1334,1.070616667,1.081216667,1.055833333,0.996416667,0.758216667,1.513916667,2.339683333,2.3046,1.906283333,1.135616667,1.192466667,1.66885,1.5028,1.94335,2.128933333,2.057883333,2.942416667,2.10355,2.42675,2.927966667,2.647033333,1.90725,
1.174983333,0.738333333,1.156716667,0.7475,0.843083333,0.990283333,0.761083333,0.973083333,1.27945,1.508316667,3.0107,3.38865,2.93025,2.706666667,2.4871,2.5165,3.119633333,4.098566667,11.2233,5.014466667,3.117383333,3.70985,3.65805,1.578816667,
1.5749,1.228016667,1.212216667,1.2151,1.225033333,1.064133333,1.2475,1.213633333,1.065716667,0.9671,1.17765,1.2442,1.194233333,1.270583333,1.7556,2.066583333,1.14815,1.3746,1.6548,0.7485,0.907116667,1.7608,2.168,2.054916667,
1.158933333,0.83,0.555816667,0.779683333,0.854933333,0.786966667,0.757616667,2.561133333,2.475683333,4.344866667,4.756633333,1.489133333,1.9694,1.5991,2.802266667,3.971283333,4.809983333,4.050083333,2.935566667,2.64875,3.04265,3.859966667,2.035883333,1.993733333,
1.611216667,1.57785,1.3369,1.307766667,1.072966667,1.042283333,1.446016667,1.3348,1.981766667,1.34785,1.665016667,2.57385,2.931283333,2.014916667,2.155266667,2.846916667,3.654516667,2.668516667,3.2296,2.838983333,3.429983333,3.76155,2.174233333,1.88935,
2.46615,1.2858,1.43225,1.219766667,1.090616667,1.101883333,1.03635,0.906383333,2.104216667,3.608716667,3.953220339,4.005916667,4.86935,4.035433333,3.329033333,5.426683333,4.48515,3.847566667,3.240283333,3.9642,4.3424,3.345283333,3.212583333,2.276833333,
1.417716667,1.3739,1.36325,1.1287,1.1244,1.125566667,1.086766667,1.10605,1.22365,1.748233333,1.636583333,2.173283333,6.730866667,6.101933333,9.556716667,6.067933333,5.3197,4.328083333,4.301783333,4.009633333,3.568516667,8.736716667,2.772,3.292183333,
2.2426,1.55325,1.4378,1.341783333,1.4039,1.3434,1.3553,1.572016667,2.423366667,3.68565,7.123372881,3.8078,4.30945,3.154833333,2.711066667,2.84845,3.746983333,4.384216667,4.507666667,4.163116667,4.1067,3.5873,2.927016667,1.8725,
1.727283333,1.757016667,1.582816667,1.599916667,1.135666667,1.4357,1.131066667,1.2398,1.63105,1.490216667,2.3472,3.037466667,2.494066667,1.830516667,2.609033333,3.4608,3.924383333,3.301466667,3.931333333,3.693233333,2.892833333,2.69265,3.6446,3.192,
3.18265,2.632666667,1.260816667,1.435183333,1.306433333,1.10455,1.140933333,1.394116667,1.65165,2.688683333,2.40405,2.15575,2.23265,2.451833333,2.470383333,3.844583333,4.4755,1.044916667,2.226633333,2.2264,3.032433333,3.997383333,3.875566667,3.408916667,
