0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,,,,
0,0,0,0,0,0,0,0,4.50 ,63.40 ,166.40 ,226.80 ,251.60 ,259.20 ,287.70 ,283.70 ,268.80 ,240.50 ,187.80 ,83.90 ,10.10 ,0,0,0,,,,
0,0,0,0,0,0,0,0,4.10 ,53.90 ,159.90 ,229.60 ,253.30 ,261.40 ,272.50 ,273.70 ,255.30 ,225.20 ,177.00 ,91.40 ,10.00 ,0,0,0,,,,
0,0,0,0,0,0,0,0,8.00 ,113.10 ,268.50 ,330.00 ,360.00 ,359.50 ,336.80 ,339.30 ,334.40 ,259.40 ,213.80 ,99.80 ,8.20 ,0,0,0,,,,
0,0,0,0,0,0,0,0,9.60 ,136.00 ,335.80 ,381.50 ,397.80 ,399.50 ,362.30 ,360.10 ,348.90 ,329.00 ,289.00 ,156.40 ,15.10 ,0,0,0,,,,
0,0,0,0,0,0,0,0,8.50 ,116.50 ,268.00 ,324.00 ,339.20 ,346.10 ,335.60 ,339.90 ,338.10 ,312.40 ,268.60 ,137.60 ,14.20 ,0,0,0,,,,
0,0,0,0,0,0,0,0,7.10 ,100.80 ,237.00 ,300.90 ,322.50 ,333.00 ,337.00 ,337.80 ,315.20 ,271.40 ,230.50 ,115.20 ,15.50 ,0,0,0,,,,
0,0,0,0,0,0,0,0,10.30 ,130.60 ,318.50 ,387.30 ,405.90 ,409.10 ,391.80 ,394.70 ,387.60 ,328.30 ,276.70 ,161.10 ,17.00 ,0.1,0,0,,,,
0,0,0,0,0,0,0,0,10.50 ,136.70 ,319.00 ,383.10 ,393.00 ,397.90 ,389.00 ,398.50 ,386.50 ,338.10 ,300.90 ,172.30 ,19.40 ,0.1,0,0,,,,
0,0,0,0,0,0,0,0,8.70 ,90.30 ,224.80 ,335.30 ,357.20 ,381.40 ,378.30 ,381.20 ,376.60 ,331.00 ,286.60 ,172.10 ,22.00 ,0.2,0,0,,,,
0,0,0,0,0,0,0,0,6.20 ,79.40 ,201.20 ,266.30 ,294.00 ,322.80 ,345.90 ,340.70 ,333.70 ,287.50 ,240.50 ,140.50 ,17.80 ,0.2,0,0,,,,
0,0,0,0,0,0,0,0,9.70 ,123.50 ,294.40 ,372.60 ,384.20 ,408.60 ,397.00 ,393.80 ,388.60 ,368.40 ,320.70 ,209.00 ,28.90 ,0.6,0,0,,,,
0,0,0,0,0,0,0,0,13.00 ,159.60 ,345.10 ,403.30 ,418.40 ,422.60 ,425.70 ,415.60 ,410.80 ,407.50 ,354.30 ,235.00 ,29.80 ,0.6,0,0,,,,
0,0,0,0,0,0,0,0,11.00 ,141.20 ,314.10 ,376.00 ,410.90 ,410.70 ,396.90 ,404.80 ,389.20 ,343.60 ,298.80 ,196.40 ,29.00 ,0.6,0,0,,,,
0,0,0,0,0,0,0,0,15.20 ,167.50 ,345.00 ,390.50 ,403.90 ,404.90 ,387.80 ,392.10 ,393.00 ,379.00 ,325.50 ,212.00 ,33.20 ,0.7,0,0,,,,
0,0,0,0,0,0,0,0,11.50 ,150.20 ,330.50 ,383.40 ,394.70 ,395.30 ,387.50 ,384.70 ,381.20 ,351.30 ,303.70 ,195.80 ,36.80 ,1.1,0,0,,,,
0,0,0,0,0,0,0,0,10.10 ,109.40 ,230.10 ,262.50 ,280.80 ,288.20 ,268.10 ,283.80 ,276.80 ,245.10 ,207.70 ,125.80 ,28.60 ,1,0,0,,,,
0,0,0,0,0,0,0,0,9.40 ,88.30 ,192.20 ,239.00 ,259.10 ,265.80 ,266.80 ,263.50 ,253.70 ,225.80 ,196.60 ,111.80 ,22.00 ,0.7,0,0,,,,
0,0,0,0,0,0,0,0,13.20 ,135.50 ,289.20 ,334.00 ,357.40 ,366.20 ,355.10 ,343.50 ,332.70 ,301.70 ,253.40 ,156.80 ,35.70 ,1.2,0,0,,,,
0,0,0,0,0,0,0,0,14.40 ,159.80 ,290.40 ,333.00 ,347.80 ,360.20 ,346.40 ,356.00 ,355.60 ,332.40 ,293.20 ,230.90 ,42.30 ,1.8,0,0,,,,
0,0,0,0,0,0,0,0,15.40 ,151.10 ,295.10 ,324.40 ,350.90 ,356.50 ,356.90 ,363.50 ,343.60 ,322.60 ,290.40 ,206.70 ,41.80 ,1.4,0,0,,,,
0,0,0,0,0,0,0,0,12.40 ,138.30 ,270.20 ,330.60 ,351.30 ,359.70 ,345.20 ,344.60 ,336.80 ,311.70 ,283.30 ,204.50 ,46.40 ,2,0,0,,,,
0,0,0,0,0,0,0,0,13.70 ,126.90 ,224.30 ,320.30 ,348.40 ,361.30 ,350.20 ,351.90 ,348.10 ,328.70 ,311.10 ,237.00 ,52.00 ,2.4,0,0,,,,
0,0,0,0,0,0,0,0,18.30 ,141.00 ,185.00 ,221.33 ,242.97 ,264.53 ,262.53 ,259.27 ,257.73 ,232.43 ,212.70 ,188.97 ,92.40 ,7.0 ,0,0,,,,
0,0,0,0,0,0,0,0,21.77 ,147.13 ,195.47 ,246.67 ,254.00 ,259.53 ,251.30 ,252.03 ,246.87 ,228.63 ,207.90 ,184.33 ,101.20 ,9.8 ,0,0,,,,
0,0,0,0,0,0,0,0,18.90 ,149.33 ,200.37 ,233.10 ,245.47 ,247.50 ,264.00 ,264.93 ,262.23 ,232.50 ,218.50 ,197.30 ,89.43 ,8.5 ,0,0,,,,
0,0,0,0,0,0,0,0,27.97 ,195.80 ,251.63 ,261.60 ,265.93 ,270.97 ,264.40 ,266.00 ,264.57 ,247.63 ,242.10 ,212.93 ,83.43 ,7.3 ,0,0,,,,
0,0,0,0,0,0,0,0,29.93 ,199.07 ,253.70 ,258.70 ,264.03 ,269.03 ,266.00 ,268.93 ,266.03 ,243.80 ,229.60 ,205.93 ,112.00 ,9.0 ,0,0,,,,
0,0,0,0,0,0,0,0,27.20 ,180.73 ,230.90 ,238.30 ,244.60 ,247.83 ,245.03 ,245.47 ,238.93 ,240.20 ,233.97 ,212.47 ,89.67 ,8.3 ,0,0,,,,
0,0,0,0,0,0,0,0,22.63 ,172.90 ,228.60 ,244.33 ,250.16 ,256.03 ,261.60 ,259.77 ,258.93 ,244.53 ,224.03 ,205.27 ,66.37 ,5.0 ,0,0,,,,
0,0,0,0,0,0,0,0,28.80 ,144.10 ,187.20 ,223.70 ,240.30 ,263.53 ,263.47 ,257.40 ,256.50 ,231.93 ,212.63 ,187.83 ,88.50 ,6.9 ,0,0,,,,
0,0,0,0,0,0,0,0,19.70 ,148.80 ,196.47 ,230.87 ,243.93 ,246.13 ,263.63 ,264.20 ,261.87 ,231.90 ,217.73 ,196.53 ,89.13 ,8.9 ,0,0,,,,
0,0,0,0,0,0,0,0,27.83 ,195.80 ,251.60 ,261.57 ,265.80 ,271.03 ,265.97 ,267.60 ,265.73 ,249.27 ,244.30 ,215.87 ,84.00 ,7.5 ,0,0,,,,
0,0,0,0,0,0,0,0,30.77 ,199.37 ,253.57 ,258.80 ,264.10 ,269.00 ,266.63 ,269.00 ,266.17 ,243.93 ,229.83 ,206.00 ,114.40 ,9.1 ,0,0,,,,
0,0,0,0,0,0,0,0,26.87 ,180.90 ,230.80 ,238.27 ,244.57 ,247.77 ,244.87 ,245.40 ,238.97 ,240.03 ,233.83 ,212.40 ,88.10 ,8.4 ,0,0,,,,
0,0,0,0,0,0,0,0,22.73 ,171.93 ,228.20 ,244.37 ,250.10 ,256.07 ,261.70 ,259.77 ,258.93 ,244.63 ,224.13 ,205.30 ,63.33 ,5.0 ,0,0,,,,
0,0,0,0,0,0,0,0,28.70 ,143.90 ,186.13 ,221.87 ,238.80 ,256.63 ,260.00 ,261.83 ,256.50 ,231.93 ,212.63 ,187.83 ,88.50 ,6.9 ,0,0,,,,
0,0,0,0,0,0,0,0,21.27 ,147.00 ,194.93 ,246.73 ,253.83 ,258.90 ,251.73 ,251.47 ,246.60 ,228.10 ,208.90 ,184.13 ,101.07 ,9.8 ,0,0,,,,
0,0,0,0,0,0,0,0,28.47 ,147.60 ,189.80 ,220.40 ,239.43 ,260.40 ,260.27 ,262.93 ,260.30 ,238.60 ,217.67 ,193.67 ,91.23 ,6.7 ,0,0,,,,
0,0,0,0,0,0,0,0,19.10 ,147.70 ,198.20 ,229.20 ,241.70 ,245.47 ,262.83 ,262.57 ,259.83 ,235.00 ,220.67 ,195.27 ,91.10 ,9.1 ,0,0,,,,
0,0,0,0,0,0,0,0,27.47 ,196.73 ,251.07 ,261.53 ,266.07 ,271.00 ,266.57 ,267.00 ,266.30 ,249.20 ,244.80 ,215.37 ,84.00 ,7.7 ,0,0,,,,
0,0,0,0,0,0,0,0,29.90 ,197.27 ,249.77 ,257.37 ,263.83 ,268.53 ,265.70 ,266.53 ,262.37 ,241.33 ,225.13 ,201.87 ,106.00 ,8.5 ,0,0,,,,
0,0,0,0,0,0,0,0,26.33 ,179.33 ,228.90 ,238.13 ,244.77 ,246.23 ,244.33 ,246.33 ,239.03 ,230.37 ,228.23 ,205.20 ,88.80 ,8.0 ,0,0,,,,
0,0,0,0,0,0,0,0,22.20 ,172.00 ,228.20 ,244.73 ,250.30 ,255.83 ,262.37 ,260.80 ,259.53 ,245.30 ,224.57 ,206.10 ,68.23 ,5.0 ,0,0,,,,
0,0,0,0,0,0,0,0,26.57 ,180.27 ,246.70 ,265.83 ,272.60 ,279.00 ,277.00 ,277.90 ,275.50 ,256.07 ,239.40 ,206.90 ,88.77 ,7.2 ,0,0,,,,
0,0,0,0,0,0,0,0,18.53 ,157.70 ,240.00 ,265.07 ,271.37 ,272.57 ,262.23 ,262.83 ,257.70 ,230.67 ,215.60 ,186.47 ,64.67 ,6.3 ,0,0,,,,
